,date,prcp,month
2572,2017-03-20,0.0,2017-03-20 00:00:00
2573,2017-03-21,0.0,2017-03-21 00:00:00
2574,2017-03-22,0.0,2017-03-22 00:00:00
2575,2017-03-23,0.0,2017-03-23 00:00:00
2576,2017-03-24,0.02,2017-03-24 00:00:00
2577,2017-03-25,0.0,2017-03-25 00:00:00
2578,2017-03-26,0.0,2017-03-26 00:00:00
2579,2017-03-27,0.0,2017-03-27 00:00:00
2580,2017-03-28,0.0,2017-03-28 00:00:00
2581,2017-03-29,0.0,2017-03-29 00:00:00
2582,2017-03-30,0.0,2017-03-30 00:00:00
2583,2017-03-31,0.0,2017-03-31 00:00:00
2584,2017-04-01,0.0,2017-04-01 00:00:00
2585,2017-04-02,0.0,2017-04-02 00:00:00
2586,2017-04-03,0.0,2017-04-03 00:00:00
2587,2017-04-04,0.0,2017-04-04 00:00:00
2588,2017-04-05,0.0,2017-04-05 00:00:00
2589,2017-04-06,0.0,2017-04-06 00:00:00
2590,2017-04-07,0.0,2017-04-07 00:00:00
2591,2017-04-08,0.0,2017-04-08 00:00:00
2592,2017-04-09,0.0,2017-04-09 00:00:00
2593,2017-04-10,0.0,2017-04-10 00:00:00
2594,2017-04-11,0.0,2017-04-11 00:00:00
2595,2017-04-12,0.0,2017-04-12 00:00:00
2596,2017-04-13,0.0,2017-04-13 00:00:00
2597,2017-04-14,0.26,2017-04-14 00:00:00
2598,2017-04-15,0.01,2017-04-15 00:00:00
2599,2017-04-16,0.0,2017-04-16 00:00:00
2600,2017-04-17,0.02,2017-04-17 00:00:00
2601,2017-04-18,0.0,2017-04-18 00:00:00
2602,2017-04-19,0.02,2017-04-19 00:00:00
2603,2017-04-20,0.05,2017-04-20 00:00:00
2604,2017-04-21,0.23,2017-04-21 00:00:00
2605,2017-04-22,0.32,2017-04-22 00:00:00
2606,2017-04-23,0.03,2017-04-23 00:00:00
2607,2017-04-24,0.0,2017-04-24 00:00:00
2608,2017-04-25,0.0,2017-04-25 00:00:00
2609,2017-04-26,0.0,2017-04-26 00:00:00
2610,2017-04-27,0.0,2017-04-27 00:00:00
2611,2017-04-28,0.0,2017-04-28 00:00:00
2612,2017-04-29,0.12,2017-04-29 00:00:00
2613,2017-04-30,0.89,2017-04-30 00:00:00
2614,2017-05-01,0.26,2017-05-01 00:00:00
2615,2017-05-02,0.0,2017-05-02 00:00:00
2616,2017-05-03,0.0,2017-05-03 00:00:00
2617,2017-05-04,0.0,2017-05-04 00:00:00
2618,2017-05-05,0.0,2017-05-05 00:00:00
2619,2017-05-06,0.0,2017-05-06 00:00:00
2620,2017-05-07,0.0,2017-05-07 00:00:00
2621,2017-05-08,0.0,2017-05-08 00:00:00
2622,2017-05-10,0.0,2017-05-10 00:00:00
2623,2017-05-11,0.01,2017-05-11 00:00:00
2624,2017-05-12,0.0,2017-05-12 00:00:00
2625,2017-05-13,0.0,2017-05-13 00:00:00
2626,2017-05-14,0.0,2017-05-14 00:00:00
2627,2017-05-15,0.05,2017-05-15 00:00:00
2628,2017-05-16,0.01,2017-05-16 00:00:00
2629,2017-05-17,0.0,2017-05-17 00:00:00
2630,2017-05-18,0.01,2017-05-18 00:00:00
2631,2017-05-19,0.0,2017-05-19 00:00:00
2632,2017-05-20,0.0,2017-05-20 00:00:00
2633,2017-05-21,0.0,2017-05-21 00:00:00
2634,2017-05-22,0.0,2017-05-22 00:00:00
2635,2017-05-23,0.08,2017-05-23 00:00:00
2636,2017-05-24,0.13,2017-05-24 00:00:00
2637,2017-05-25,0.15,2017-05-25 00:00:00
2638,2017-05-27,0.01,2017-05-27 00:00:00
2639,2017-05-28,0.02,2017-05-28 00:00:00
2640,2017-05-29,0.0,2017-05-29 00:00:00
2641,2017-05-30,0.26,2017-05-30 00:00:00
2642,2017-05-31,0.02,2017-05-31 00:00:00
2643,2017-06-01,0.0,2017-06-01 00:00:00
2644,2017-06-02,0.0,2017-06-02 00:00:00
2645,2017-06-03,0.02,2017-06-03 00:00:00
2646,2017-06-04,0.0,2017-06-04 00:00:00
2647,2017-06-05,0.0,2017-06-05 00:00:00
2648,2017-06-06,0.0,2017-06-06 00:00:00
2649,2017-06-07,0.0,2017-06-07 00:00:00
2650,2017-06-08,0.0,2017-06-08 00:00:00
2651,2017-06-09,0.0,2017-06-09 00:00:00
2652,2017-06-10,0.04,2017-06-10 00:00:00
2653,2017-06-11,0.08,2017-06-11 00:00:00
2654,2017-06-12,0.02,2017-06-12 00:00:00
2655,2017-06-13,0.0,2017-06-13 00:00:00
2656,2017-06-14,0.0,2017-06-14 00:00:00
2657,2017-06-15,0.0,2017-06-15 00:00:00
2658,2017-06-16,0.0,2017-06-16 00:00:00
2659,2017-06-17,0.0,2017-06-17 00:00:00
2660,2017-06-18,0.05,2017-06-18 00:00:00
2661,2017-06-19,0.0,2017-06-19 00:00:00
2662,2017-06-20,0.02,2017-06-20 00:00:00
2663,2017-06-21,0.0,2017-06-21 00:00:00
2664,2017-06-22,0.0,2017-06-22 00:00:00
2665,2017-06-23,0.0,2017-06-23 00:00:00
2666,2017-06-24,0.06,2017-06-24 00:00:00
2667,2017-06-25,0.0,2017-06-25 00:00:00
2668,2017-06-26,0.0,2017-06-26 00:00:00
2669,2017-06-27,0.0,2017-06-27 00:00:00
2670,2017-06-28,0.0,2017-06-28 00:00:00
2671,2017-06-29,0.0,2017-06-29 00:00:00
2672,2017-06-30,0.08,2017-06-30 00:00:00
2673,2017-07-01,0.02,2017-07-01 00:00:00
2674,2017-07-02,0.02,2017-07-02 00:00:00
